Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"        Portland-Vancouver-Hillsboro, OR-WA (Items)",78.46448087,80.78356164,65.55068493,56.59178082,55.42349727,55.45753425,56.33972603,57.93424658,59.38797814,54.07123288,57.75068493,55.59178082,50.67123288,43.38082192,46.34520548,42.64109589,44.8442623,39.19452055,39.37260274,44.90410959,47.64480874,47.39178082,45.1890411,43.26849315,48.75136612,49.7890411,47.10958904,47.35342466,47.10382514,50.86027397,40.21917808,46.69863014,43.42622951,48.97808219,44.18630137,46.97260274,39.36338798,47.82739726,44.25753425,42.5781,48.3087,41.9176
"        Riverside-San Bernardino-Ontario, CA (Items)",163.9043716,171.4465753,147.7424658,149.3863014,157.7814208,151.9232877,155.5917808,149.5972603,155.3224044,155.9150685,147.0027397,148.0191781,142.4016393,138.4958904,134.3616438,123.3616438,119.2896175,116.3369863,112.5643836,118.1917808,116.6994536,123.1452055,119.830137,118.8547945,112.7185792,109.4986301,106.3013699,115.5753425,111.3032787,106.2739726,104.3506849,107.460274,106.4808743,102.6356164,106.7972603,102.5369863,104.9289617,109.709589,104.830137,98.9562,112.2131,93.6447
"        Sacramento--Roseville--Arden-Arcade, CA (Items)",89.23770492,96.93424658,96.08219178,90.76986301,94.53551913,92.73150685,90.51506849,98.09589041,96.96994536,98.11232877,91.34520548,93.94794521,89.58469945,72.76712329,82.44657534,78.82739726,78.35245902,67.70958904,76.2630137,93.57534247,85.22131148,88.50410959,95.84931507,90.10410959,86.15846995,82.23013699,88.55068493,80.39178082,80.72404372,74.10136986,66.76438356,74.44931507,74.14480874,70.35616438,70.10684932,69.70136986,70.7431694,70.40273973,76.23013699,59.1233,71.6858,75.6471
"        San Antonio-New Braunfels, TX (Items)",54.13186813,47.76454294,50.01944444,55.14794521,52.00819672,45.6456044,50.56438356,49.01923077,46.33333333,45.26997245,42.56593407,41.47252747,38.2431694,37.22252747,42.55890411,53.91506849,39.61157025,44.63561644,52.85205479,55.18406593,52.07650273,51.5369863,58.82465753,53.98630137,48.66120219,56.15616438,57.5260274,50.41643836,53.45901639,51.18082192,49.30958904,53.83835616,52.04644809,52.92054795,51.87671233,51.58356164,46.05464481,47.31767956,46.81643836,51.3425,53.0956,51.348
"        San Diego-Carlsbad, CA (Items)",125.4043716,124.0493151,103.339726,105.0986301,112.9180328,112.4739726,106.5150685,108.8219178,120.7513661,122.0273973,109.7890411,100.1342466,95.94262295,90.08219178,90.30136986,87.92054795,79.57650273,74.79726027,78.38186813,86.79178082,82.34699454,83.36986301,78.89315068,77.59726027,73.80601093,73.24383562,76.61917808,74.85205479,78.17486339,72.96438356,67.13424658,68,69.95081967,71.4109589,67.98082192,67.8109589,71.3852459,73.30958904,69.16986301,66.2192,75.3934,57.2342
"        San Francisco-Oakland-Hayward, CA (Items)",66.50819672,62.88493151,61.12876712,62.55890411,66.09562842,64.72054795,64.0109589,63.57260274,62.67213115,62.95616438,56.43835616,55.75342466,52.3715847,53.4,50.75616438,52.62191781,54.00273224,44.85479452,50.30136986,58.74794521,56.18306011,56.44109589,59.89041096,55.09863014,56.81147541,54.99178082,57.51232877,51.43013699,58.17486339,56.75342466,53.03561644,55.04109589,50.77322404,55.34794521,52.24109589,53.57260274,52.16120219,56.4109589,59,47.8219,54.5137,50.9708
"        Seattle-Tacoma-Bellevue, WA (Items)",97.1284153,115.2630137,113.2520548,104.1205479,96.64480874,77.54520548,74.18630137,81.54520548,77.28688525,68.88493151,68.40547945,65.64657534,66.46994536,57.31780822,55.76986301,54.82191781,53.0273224,50.97534247,51.25205479,57.76712329,62.25956284,59.6109589,59.01643836,62.86575342,60.11202186,58.35890411,57.53150685,54.86849315,50.46174863,59.90958904,45.14794521,50.06849315,49.69945355,54.05205479,51.35068493,54.48219178,46.06010929,56.76438356,52.9260274,48.7233,50.3579,48.8352
"        St. Louis, MO-IL (Items)",135.5273224,121.3260274,115.2191781,134.0054795,130.6967213,121.5753425,130.7726027,128.1369863,136.3797814,134.1561644,120.7753425,121.8219178,115.2131148,110.5315068,118.6191781,120.9808219,118.7978142,105.6876712,106.7589041,113.3780822,97.98360656,96.24931507,98.75890411,88.27945205,86.21584699,100.9808219,99.16164384,90.18082192,87.91803279,80.1890411,82.00547945,77.80547945,83.85245902,66.43835616,59.17534247,59.03835616,55.56557377,56.29315068,58.15342466,57.7507,56.5738,59.0691
"        Tampa-St. Petersburg-Clearwater, FL (Items)",98.07103825,100.9041096,99.30136986,97.5369863,98.99180328,94.74246575,99.20547945,104.2876712,92.05737705,97.10684932,91.36712329,81.50410959,97.73224044,101.2739726,99.73150685,91.15616438,92.62021858,93.67945205,96.66027397,96.2109589,87.19398907,85.54246575,83.0109589,76.70410959,70.96721311,71.98082192,70.40821918,68.05205479,58.60928962,54.19178082,58.21917808,54.74246575,51.83333333,48.40547945,50.20547945,48.83287671,48.41530055,47.93150685,47.37808219,47.2438,45.9754,48.6923
"        Washington-Arlington-Alexandria, DC-VA-MD-WV (Items)",95.81420765,91.21369863,89.71232877,98.38630137,90.45901639,91.45753425,89.96164384,91.96986301,87.71857923,82.88767123,80.77534247,90.18082192,73.76229508,84.87671233,79.21917808,75.73972603,72.30327869,72.91232877,79.72328767,84.10410959,74.13387978,78.62739726,80.43561644,69.29315068,68.09836066,71.9369863,67.95342466,70.05753425,61.36885246,55.93972603,65.13424658,64.08219178,65.07923497,54.32876712,53.89863014,56.80821918,55.31967213,55.05753425,53.20273973,51.9096,44.4891,51.1151
